"player_id","name","height_in","weight","position"
"1626172","Kevon Looney","81","222","Forward"
"201572","Brook Lopez","85","282","Center"
"201567","Kevin Love","80","251","Forward-Center"
"200768","Kyle Lowry","72","196","Guard"
"1641754","Seth Lundy","76","220","Guard-Forward"
"1626168","Trey Lyles","81","234","Forward"
"1630572","Sandro Mamukelashvili","81","240","Forward-Center"
"1629611","Terance Mann","77","215","Guard-Forward"
"1630544","Tre Mann","75","178","Guard"
"1628374","Lauri Markkanen","84","240","Forward-Center"
"1630230","Naji Marshall","78","220","Forward"
"1628997","Caleb Martin","77","205","Forward"
"1628998","Cody Martin","78","205","Forward"
"1641798","Jaylen Martin","78","216","Guard"
"1630231","KJ Martin","78","215","Forward"
"1631213","Tyrese Martin","78","215","Forward"
"1629726","Garrison Mathews","78","215","Guard"
"1631097","Bennedict Mathurin","77","210","Guard-Forward"
"1631255","Karlo Matković","82","231","Forward-Center"
"1630178","Tyrese Maxey","74","200","Guard"
"1630540","Miles McBride","73","195","Guard"
"1642272","Jared McCain","75","195","Guard"
"1630644","Mac McClung","74","185","Guard"
"203468","CJ McCollum","75","190","Guard"
"204456","T.J. McConnell","73","190","Guard"
"1641755","Kevin McCullar Jr.","78","210","Guard"
"1630183","Jaden McDaniels","81","185","Forward"
"1629667","Jalen McDaniels","81","190","Forward"
"203926","Doug McDermott","78","225","Forward"
"1631121","Bryce McGowens","78","190","Guard"
"1629162","Jordan McLaughlin","72","185","Guard"
"1629098","Jack McVeigh","80","215","Guard-Forward"
"1629001","De'Anthony Melton","75","200","Guard"
"1630241","Sam Merrill","76","205","Guard"
"203995","Vasilije Micić","75","188","Guard"
"203114","Khris Middleton","79","222","Forward"
"1641706","Brandon Miller","79","200","Forward"
"1641801","Emanuel Miller","79","215","Forward"
"1641757","Jordan Miller","77","194","Guard"
"1631159","Leonard Miller","82","220","Forward"
"201988","Patty Mills","74","180","Guard"
"1629003","Shake Milton","77","205","Guard"
"1631303","Justin Minaya","77","205","Forward"
"1642434","Riley Minix","79","230","Forward"
"1631169","Josh Minott","80","205","Forward"
"1642274","Yves Missi","83","235","Center"
"1642349","Ajay Mitchell","77","190","Guard"
"1630558","Davion Mitchell","72","202","Guard"
"1628378","Donovan Mitchell","75","215","Guard"
"1630596","Evan Mobley","83","215","Center"
"1642367","Jonathan Mogbo","81","225","Forward"
"1628370","Malik Monk","75","200","Guard"
"1630541","Moses Moody","77","211","Guard"
"1631386","Tazé Moore","77","195","Guard"
"1631111","Wendell Moore Jr.","77","215","Guard"
"1629630","Ja Morant","74","174","Guard"
"202693","Markieff Morris","81","245","Forward"
"1628420","Monté Morris","74","183","Guard"
"1630530","Trey Murphy III","80","206","Forward"
"1627749","Dejounte Murray","76","180","Guard"
"1627750","Jamal Murray","76","215","Guard"
"1631099","Keegan Murray","80","225","Forward"
"1631200","Kris Murray","80","216","Forward"
"1629004","Svi Mykhailiuk","79","205","Guard-Forward"
"1631250","Pete Nance","82","225","Forward"
"1626204","Larry Nance Jr.","80","245","Forward-Center"
"1629614","Andrew Nembhard","76","191","Guard-Forward"
"1630174","Aaron Nesmith","78","215","Guard-Forward"
"1641803","Tristen Newton","77","190","Guard"
"1627777","Georges Niang","79","230","Forward"
"1630227","Daishen Nix","76","238","Guard"
"1630192","Zeke Nnaji","81","240","Forward-Center"
"1641936","Miles Norris","79","220","Forward"
"1629669","Jaylen Nowell","76","201","Guard"
"203994","Jusuf Nurkić","84","290","Center"
"1626220","Royce O'Neale","78","226","Forward"
"1626143","Jahlil Okafor","82","270","Center-Forward"
"1629643","Chuma Okeke","79","229","Forward"
"1629006","Josh Okogie","76","213","Guard"
"1630168","Onyeka Okongwu","82","240","Forward-Center"
"1630171","Isaac Okoro","77","225","Forward-Guard"
"1642439","Quincy Olivari","75","200","Guard"
"203482","Kelly Olynyk","83","240","Forward-Center"
"1626162","Kelly Oubre Jr.","80","203","Forward-Guard"
"101108","Chris Paul","72","175","Guard"
"1626166","Cameron Payne","75","183","Guard"
"203901","Elfrid Payton","75","195","Guard"
"1627780","Gary Payton II","74","195","Guard"
"1641809","Drew Peterson","81","205","Forward"
"1641763","Julian Phillips","80","198","Forward"
"1629618","Jalen Pickett","74","202","Guard"
"1630590","Scotty Pippen Jr.","73","170","Guard"
"1631342","Daeqwon Plowden","78","216","Guard-Forward"
"203486","Mason Plumlee","82","254","Forward-Center"
"1641764","Brandin Podziemski","76","205","Guard"
"1627751","Jakob Poeltl","84","260","Center"
"1629673","Jordan Poole","76","194","Guard"
"1641854","Craig Porter Jr.","73","180","Guard"
"1629645","Kevin Porter Jr.","76","203","Guard-Forward"
"1629008","Michael Porter Jr.","82","218","Forward"
"1626171","Bobby Portis","82","250","Forward"
"204001","Kristaps Porziņģis","86","240","Forward-Center"
"1642366","Quinten Post","84","238","Center"
"1630695","Micah Potter","81","248","Center"
"203939","Dwight Powell","82","240","Forward-Center"
"1626181","Norman Powell","76","215","Guard"
"1627752","Taurean Prince","78","218","Forward"
"1630202","Payton Pritchard","73","195","Guard"
"1641765","Olivier-Maxence Prosper","79","230","Forward"
"1642389","Zyon Pullin","76","206","Guard"
"1630243","Trevelin Queen","77","190","Guard"
"1629674","Neemias Queta","84","248","Center"
"1630193","Immanuel Quickley","74","190","Guard"
"1631311","Lester Quinones","76","208","Guard"
"203944","Julius Randle","81","250","Forward-Center"
"1641871","Duop Reath","81","245","Center"
"1630559","Austin Reaves","77","197","Guard"
"1629629","Cam Reddish","79","217","Forward-Guard"
"1630194","Paul Reed","81","210","Forward"
"1642024","Alex Reese","81","245","Forward-Center"
"1641810","Antonio Reeves","77","205","Guard"
"1629675","Naz Reid","81","264","Center-Forward"
"1631197","Jared Rhoden","77","210","Guard"
"1630208","Nick Richards","84","245","Center"
"1626196","Josh Richardson","77","200","Guard"
"1642258","Zaccharie Risacher","80","200","Forward"
"1641857","Liam Robbins","84","250","Center"
"1629130","Duncan Robinson","79","215","Forward"
"1629011","Mitchell Robinson","84","240","Center-Forward"
"1631115","Orlando Robinson","82","235","Center"
"1630526","Jeremiah Robinson-Earl","80","240","Forward"
"1631223","David Roddy","76","255","Forward"
"1631157","Ryan Rollins","75","180","Guard"
"1642050","Jackson Rowe","79","210","Forward"
"1626179","Terry Rozier","73","190","Guard"
"1641712","Rayan Rupert","78","195","Guard-Forward"
"1626156","D'Angelo Russell","75","193","Guard"
"1630346","Matt Ryan","78","215","Forward"
"1627734","Domantas Sabonis","82","240","Forward-Center"
"1642275","Tidjane Salaün","80","207","Forward"
"1641766","Adama Sanogo","81","245","Forward"
"1630611","Gui Santos","78","185","Forward"
"1642259","Alex Sarr","84","205","Center"
"1631204","Marcus Sasser","74","195","Guard"
"1631248","Baylor Scheierman","78","205","Guard"
"203471","Dennis Schröder","73","175","Guard"
"1630578","Alperen Sengun","83","243","Center"
"1641729","Brice Sensabaugh","77","235","Forward"
"1629012","Collin Sexton","75","190","Guard"
"1629013","Landry Shamet","76","190","Guard"
"1630545","Terrence Shannon Jr.","78","215","Guard-Forward"
"1630549","Day'Ron Sharpe","81","265","Center"
"1631101","Shaedon Sharpe","77","208","Guard"
"1642347","Jamal Shead","73","200","Guard"
"1641767","Ben Sheppard","78","190","Guard"
"1642263","Reed Sheppard","74","185","Guard"
"1627783","Pascal Siakam","80","245","Forward"
